76,84,43,28,25,49,51,70,4,23,89,24,25,3,52,100,64,74,74,51,10,68,68,75,46,19,59,29,25,21,89,92,2,27,27,82,24,46,40,61,48,97,82,68,74,71,13,17,9,51
73,48,16,98,20,95,69,1,95,5,2,11,26,43,4,33,55,36,47,48,45,59,92,81,16,72,94,59,11,91,53,34,13,64,13,58,16,70,63,26,60,65,91,5,97,54,85,52,46,28
49,16,20,59,81,81,91,97,39,98,67,24,7,47,38,58,3,71,94,11,92,17,57,48,19,9,11,3,59,99,66,40,56,98,50,72,27,6,68,66,38,51,62,50,90,94,95,15,20,52
59,76,93,90,46,47,62,14,99,63,73,52,46,23,85,35,28,98,73,27,80,69,27,59,69,3,67,36,90,36,99,13,82,85,39,54,26,56,46,14,21,20,28,82,90,7,16,53,62,92
77,93,30,12,38,34,1,6,53,4,45,49,99,5,76,50,36,48,88,96,89,5,34,88,45,44,49,82,23,47,34,78,65,8,59,93,42,50,21,26,60,28,85,23,13,55,62,20,56,4
20,38,8,3,24,95,22,22,81,55,99,29,65,86,38,13,68,88,68,23,15,45,76,28,75,64,29,66,38,78,39,73,6,70,50,72,37,94,96,80,46,5,22,28,1,5,19,100,95,25
90,87,18,22,94,27,21,78,59,64,76,14,8,61,86,60,68,54,72,7,69,48,31,37,35,14,25,26,27,87,46,23,21,15,50,60,64,54,13,77,40,51,18,99,95,22,58,12,63,85
72,59,83,44,98,92,64,49,99,63,77,32,97,5,72,66,5,90,91,41,13,55,47,85,61,70,51,95,8,100,51,5,48,6,8,24,37,57,83,66,78,39,98,61,64,53,87,56,79,43
78,23,1,42,36,10,93,58,10,64,71,29,49,6,79,93,57,36,14,18,87,61,54,24,59,79,46,86,60,24,22,57,61,47,56,19,2,34,21,25,18,63,33,37,72,98,48,93,84,20
53,89,28,20,2,32,77,9,76,11,75,51,1,36,94,39,97,19,89,92,15,39,71,59,40,98,99,5,55,50,58,91,79,76,20,32,57,49,43,33,64,56,8,12,84,50,12,58,37,20
57,33,25,85,57,19,79,30,85,64,43,32,6,13,84,85,30,35,19,3,38,21,63,1,75,83,55,99,10,93,54,62,36,43,71,89,71,98,48,80,84,24,4,9,11,20,76,42,47,49
39,31,64,18,27,92,41,98,55,12,95,20,67,8,38,88,11,92,54,61,86,53,72,88,72,89,93,9,36,59,41,13,13,63,91,18,57,5,55,8,90,35,4,8,82,37,8,6,100,65
29,82,71,20,39,35,54,49,12,6,82,14,85,43,6,49,53,7,16,8,22,79,36,80,91,18,4,88,73,52,7,28,61,86,34,75,66,12,88,47,23,75,12,9,80,5,14,23,92,17
94,80,42,40,63,65,34,69,79,51,77,82,48,58,95,23,38,97,75,38,71,17,61,6,9,28,91,46,85,30,83,28,88,99,43,61,83,41,1,30,42,95,27,64,93,84,45,68,20,81
